order_id,customer_id,order_date,product_id,quantity,total_amount,payment_status,payment_method
ORD0052,CUST123,2024-05-09,PROD002,4,20000,Pending,Transfer
ORD0053,CUST109,2024-03-25,PROD009,1,12000,Failed,Cash
ORD0054,CUST111,2023-12-13,PROD002,4,20000,Pending,Cash
ORD0055,CUST151,2023-12-11,PROD004,4,12000,Completed,Cash
ORD0056,CUST073,2023-05-17,PROD009,2,24000,Completed,POS
ORD0057,CUST119,2024-02-09,PROD001,4,60000,Failed,POS
ORD0058,CUST042,2023-12-02,PROD002,2,10000,Pending,POS
ORD0059,CUST123,2024-06-20,PROD008,5,175000,Pending,POS
ORD0060,CUST064,2023-06-24,PROD001,1,15000,Completed,Cash
ORD0061,CUST179,2023-12-16,PROD007,4,72000,Pending,Cash
ORD0062,CUST070,2023-07-04,PROD003,3,24000,Pending,Cash
ORD0063,CUST052,2023-02-15,PROD007,3,54000,Failed,POS
ORD0064,CUST113,2024-06-12,PROD003,4,32000,Pending,Cash
ORD0065,CUST050,2023-11-18,PROD003,3,24000,Pending,POS
ORD0066,CUST059,2023-11-10,PROD009,4,48000,Pending,POS
ORD0067,CUST077,2023-10-28,PROD009,4,48000,Failed,Cash
ORD0068,CUST028,2024-03-28,PROD009,1,12000,Completed,POS
ORD0069,CUST079,2023-04-02,PROD004,2,6000,Failed,Transfer
ORD0070,CUST175,2024-06-29,PROD004,2,6000,Pending,Transfer
ORD0071,CUST151,2023-06-26,PROD006,1,25000,Pending,Transfer
ORD0072,CUST014,2023-10-16,PROD008,1,35000,Failed,POS
ORD0073,CUST140,2023-12-12,PROD007,1,18000,Completed,Transfer
ORD0074,CUST136,2024-03-18,PROD003,5,40000,Failed,Transfer
ORD0075,CUST140,2024-06-27,PROD004,2,6000,Pending,POS
ORD0076,CUST092,2024-06-28,PROD004,2,6000,Pending,Transfer
ORD0077,CUST108,2023-09-07,PROD003,1,8000,Pending,Transfer
ORD0078,CUST140,2023-11-28,PROD003,3,24000,Failed,Cash
ORD0079,CUST186,2023-04-03,PROD009,1,12000,Completed,POS
ORD0080,CUST018,2023-11-23,PROD007,1,18000,Pending,POS
ORD0081,CUST016,2023-08-30,PROD001,1,15000,Pending,Cash
ORD0082,CUST086,2024-06-17,PROD007,5,90000,Failed,Cash
ORD0083,CUST183,2023-06-14,PROD009,1,12000,Failed,Cash
ORD0084,CUST021,2024-06-07,PROD009,5,60000,Failed,Transfer
ORD0085,CUST067,2023-09-01,PROD008,3,105000,Completed,Transfer
ORD0086,CUST161,2023-01-10,PROD003,5,40000,Pending,Transfer
ORD0087,CUST095,2023-07-30,PROD004,2,6000,Pending,Cash
ORD0088,CUST088,2024-02-25,PROD008,3,105000,Pending,POS
ORD0089,CUST024,2024-01-28,PROD003,1,8000,Completed,Transfer
ORD0090,CUST011,2024-06-07,PROD008,2,70000,Completed,Transfer
ORD0091,CUST189,2023-08-04,PROD009,1,12000,Pending,POS
ORD0092,CUST060,2024-06-02,PROD002,4,20000,Pending,POS
ORD0093,CUST053,2023-03-30,PROD002,4,20000,Failed,Cash
ORD0094,CUST076,2023-06-09,PROD002,3,15000,Failed,Transfer
ORD0095,CUST178,2023-11-20,PROD001,3,45000,Failed,Cash
ORD0096,CUST182,2024-04-10,PROD001,4,60000,Pending,Transfer
ORD0097,CUST141,2024-01-22,PROD002,5,25000,Failed,Transfer
ORD0098,CUST085,2024-06-21,PROD003,4,32000,Failed,Cash
ORD0099,CUST109,2023-01-07,PROD006,3,75000,Pending,POS
ORD0100,CUST125,2023-04-11,PROD003,2,16000,Failed,Cash
ORD0101,CUST014,2023-03-21,PROD006,1,25000,Failed,POS
ORD0102,CUST020,2023-01-03,PROD003,4,32000,Completed,Cash
ORD0103,CUST114,2024-01-18,PROD006,5,125000,Pending,POS
ORD0104,CUST144,2023-11-12,PROD009,3,36000,Completed,Transfer
ORD0105,CUST006,2023-10-29,PROD002,4,20000,Completed,POS
ORD0106,CUST099,2023-02-02,PROD006,3,75000,Completed,POS
ORD0107,CUST068,2024-06-06,PROD008,4,140000,Pending,Transfer
ORD0108,CUST021,2023-11-19,PROD002,3,15000,Failed,POS
ORD0109,CUST081,2023-08-23,PROD001,5,75000,Completed,POS
ORD0110,CUST011,2024-01-04,PROD008,4,140000,Failed,Transfer
ORD0111,CUST021,2024-06-26,PROD007,1,18000,Failed,Cash
ORD0112,CUST027,2024-05-10,PROD004,3,9000,Completed,POS
ORD0113,CUST200,2023-08-10,PROD005,1,4000,Failed,Cash
ORD0114,CUST123,2023-11-29,PROD001,4,60000,Pending,Cash
ORD0115,CUST141,2023-09-06,PROD006,1,25000,Failed,Cash
ORD0116,CUST124,2024-05-12,PROD002,3,15000,Failed,Cash
ORD0117,CUST005,2023-06-02,PROD008,1,35000,Failed,Transfer
ORD0118,CUST002,2023-03-10,PROD003,4,32000,Completed,Transfer
ORD0119,CUST059,2024-05-04,PROD008,2,70000,Pending,POS
ORD0120,CUST074,2023-12-25,PROD010,3,60000,Failed,POS
ORD0121,CUST127,2024-01-29,PROD007,3,54000,Pending,Cash
ORD0122,CUST059,2023-06-23,PROD002,4,20000,Failed,Transfer
ORD0123,CUST131,2024-01-04,PROD008,3,105000,Failed,POS
ORD0124,CUST074,2023-10-17,PROD007,1,18000,Completed,POS
ORD0125,CUST124,2023-11-14,PROD004,1,3000,Completed,POS
ORD0126,CUST015,2023-04-06,PROD007,5,90000,Pending,POS
ORD0127,CUST086,2023-01-25,PROD008,3,105000,Failed,Transfer
ORD0128,CUST011,2024-03-30,PROD007,3,54000,Pending,Cash
ORD0129,CUST037,2023-06-28,PROD003,3,24000,Failed,Cash
ORD0130,CUST107,2023-04-16,PROD004,1,3000,Failed,Cash
ORD0131,CUST163,2024-03-06,PROD004,3,9000,Pending,POS
ORD0132,CUST025,2024-03-21,PROD006,2,50000,Failed,POS
ORD0133,CUST182,2023-07-15,PROD009,4,48000,Failed,Transfer
ORD0134,CUST170,2024-01-02,PROD002,5,25000,Pending,Transfer
ORD0135,CUST037,2023-02-10,PROD010,3,60000,Failed,Cash
ORD0136,CUST135,2023-07-21,PROD009,4,48000,Failed,Transfer
ORD0137,CUST159,2023-03-29,PROD002,1,5000,Pending,Cash
ORD0138,CUST135,2023-11-12,PROD001,2,30000,Pending,POS
ORD0139,CUST037,2023-03-26,PROD003,5,40000,Completed,Transfer
ORD0140,CUST094,2024-01-13,PROD003,5,40000,Completed,Cash
ORD0141,CUST015,2023-04-09,PROD010,1,20000,Pending,Cash
ORD0142,CUST093,2023-06-19,PROD009,4,48000,Completed,Cash
ORD0143,CUST199,2024-01-05,PROD009,5,60000,Failed,POS
ORD0144,CUST027,2024-05-25,PROD001,1,15000,Completed,Cash
ORD0145,CUST033,2024-04-09,PROD008,4,140000,Failed,Cash
ORD0146,CUST005,2024-04-25,PROD007,2,36000,Pending,POS
ORD0147,CUST034,2024-03-21,PROD004,4,12000,Pending,POS
ORD0148,CUST109,2023-08-08,PROD005,5,20000,Failed,Cash
ORD0149,CUST049,2023-09-27,PROD001,2,30000,Failed,POS
ORD0150,CUST002,2024-04-28,PROD003,2,16000,Failed,Transfer
ORD0151,CUST137,2023-06-26,PROD006,2,50000,Failed,Transfer
ORD0152,CUST020,2023-09-10,PROD006,4,100000,Failed,Cash
ORD0153,CUST139,2023-04-03,PROD002,1,5000,Pending,Cash
ORD0154,CUST134,2023-09-25,PROD002,5,25000,Pending,POS
ORD0155,CUST027,2023-01-25,PROD002,3,15000,Completed,POS
ORD0156,CUST005,2023-03-21,PROD006,3,75000,Failed,Cash
ORD0157,CUST042,2023-12-04,PROD006,2,50000,Failed,POS
ORD0158,CUST109,2024-01-06,PROD008,4,140000,Pending,Transfer
ORD0159,CUST024,2023-04-22,PROD001,4,60000,Completed,POS
ORD0160,CUST197,2023-09-03,PROD006,1,25000,Pending,Transfer
ORD0161,CUST043,2023-09-26,PROD003,1,8000,Completed,Cash
ORD0162,CUST129,2023-02-25,PROD007,2,36000,Failed,Cash
ORD0163,CUST112,2023-01-25,PROD005,3,12000,Failed,POS
ORD0164,CUST109,2023-07-03,PROD010,3,60000,Failed,POS
ORD0165,CUST049,2024-05-17,PROD006,3,75000,Failed,POS
ORD0166,CUST115,2024-01-10,PROD005,1,4000,Completed,POS
ORD0167,CUST148,2023-10-30,PROD008,1,35000,Failed,Cash
ORD0168,CUST085,2023-11-27,PROD007,1,18000,Pending,Transfer
ORD0169,CUST060,2023-08-27,PROD010,5,100000,Pending,POS
ORD0170,CUST033,2024-04-12,PROD001,2,30000,Completed,POS
ORD0171,CUST077,2024-02-04,PROD006,1,25000,Completed,Cash
ORD0172,CUST043,2023-11-05,PROD004,4,12000,Failed,Cash
ORD0173,CUST102,2024-03-04,PROD009,2,24000,Completed,Cash
ORD0174,CUST010,2024-04-08,PROD005,1,4000,Completed,POS
ORD0175,CUST058,2023-10-15,PROD007,4,72000,Pending,Cash
ORD0176,CUST024,2023-09-08,PROD006,4,100000,Pending,Cash
ORD0177,CUST147,2023-12-26,PROD008,2,70000,Failed,Cash
ORD0178,CUST150,2023-11-13,PROD002,5,25000,Failed,POS
ORD0179,CUST075,2023-12-27,PROD006,1,25000,Completed,Cash
ORD0180,CUST151,2023-06-29,PROD004,1,3000,Pending,Transfer
ORD0181,CUST062,2024-05-20,PROD004,1,3000,Completed,POS
ORD0182,CUST148,2023-03-17,PROD006,5,125000,Completed,Transfer
ORD0183,CUST080,2024-03-29,PROD006,3,75000,Pending,Cash
ORD0184,CUST016,2023-03-18,PROD006,4,100000,Pending,Cash
ORD0185,CUST091,2023-01-11,PROD002,2,10000,Completed,Cash
ORD0186,CUST177,2023-12-31,PROD005,2,8000,Pending,Cash
ORD0187,CUST166,2023-01-03,PROD009,1,12000,Failed,POS
ORD0188,CUST105,2024-01-26,PROD006,1,25000,Completed,Cash
ORD0189,CUST079,2023-06-10,PROD006,4,100000,Failed,Cash
ORD0190,CUST001,2023-08-17,PROD001,2,30000,Pending,POS
ORD0191,CUST171,2024-07-04,PROD001,2,30000,Failed,Cash
ORD0192,CUST199,2023-09-24,PROD002,1,5000,Failed,Transfer
ORD0193,CUST071,2024-01-03,PROD004,5,15000,Pending,Cash
ORD0194,CUST094,2023-09-24,PROD005,4,16000,Failed,POS
ORD0195,CUST066,2023-08-14,PROD002,4,20000,Completed,Cash
ORD0196,CUST159,2023-01-28,PROD007,1,18000,Completed,Transfer
ORD0197,CUST115,2023-04-28,PROD002,1,5000,Failed,POS
ORD0198,CUST172,2024-02-06,PROD006,3,75000,Completed,Cash
ORD0199,CUST068,2024-06-01,PROD004,1,3000,Pending,POS
ORD0200,CUST157,2024-06-28,PROD008,2,70000,Failed,POS
ORD0201,CUST151,2023-05-02,PROD004,1,3000,Pending,POS
ORD0202,CUST171,2023-04-07,PROD004,5,15000,Completed,Transfer
ORD0203,CUST143,2023-01-30,PROD007,3,54000,Pending,POS
ORD0204,CUST086,2024-01-14,PROD008,5,175000,Failed,Transfer
ORD0205,CUST057,2023-03-07,PROD002,2,10000,Failed,POS
ORD0206,CUST058,2023-08-05,PROD005,1,4000,Failed,Cash
ORD0207,CUST183,2024-04-14,PROD007,5,90000,Completed,Transfer
ORD0208,CUST142,2023-08-04,PROD001,4,60000,Completed,Transfer
ORD0209,CUST200,2024-05-19,PROD009,1,12000,Failed,Cash
ORD0210,CUST094,2023-10-14,PROD006,5,125000,Completed,Cash
ORD0211,CUST138,2023-12-11,PROD006,4,100000,Failed,Transfer
ORD0212,CUST126,2023-08-18,PROD001,1,15000,Pending,Transfer
ORD0213,CUST094,2024-04-25,PROD001,5,75000,Failed,Cash
ORD0214,CUST087,2023-02-09,PROD005,4,16000,Completed,Transfer
ORD0215,CUST036,2023-03-04,PROD004,3,9000,Completed,Cash
ORD0216,CUST058,2024-04-27,PROD001,2,30000,Completed,POS
ORD0217,CUST138,2024-05-05,PROD002,4,20000,Completed,POS
ORD0218,CUST133,2023-08-20,PROD001,4,60000,Pending,Transfer
ORD0219,CUST015,2024-03-30,PROD002,1,5000,Completed,Cash
ORD0220,CUST157,2024-05-16,PROD009,5,60000,Pending,POS
ORD0221,CUST197,2024-03-06,PROD006,5,125000,Pending,POS
ORD0222,CUST080,2024-05-03,PROD006,2,50000,Pending,Transfer
ORD0223,CUST070,2024-04-06,PROD002,2,10000,Completed,POS
ORD0224,CUST176,2023-02-09,PROD007,5,90000,Completed,Transfer
ORD0225,CUST137,2024-03-18,PROD005,3,12000,Pending,Transfer
ORD0226,CUST136,2023-07-07,PROD005,1,4000,Failed,Cash
ORD0227,CUST102,2023-02-06,PROD006,1,25000,Pending,Cash
ORD0228,CUST074,2023-08-30,PROD004,1,3000,Pending,POS
ORD0229,CUST154,2024-04-18,PROD001,3,45000,Pending,Transfer
ORD0230,CUST134,2023-10-11,PROD005,3,12000,Completed,Transfer
ORD0231,CUST030,2023-10-12,PROD006,5,125000,Pending,POS
ORD0232,CUST200,2024-04-01,PROD007,2,36000,Completed,Transfer
ORD0233,CUST003,2023-02-15,PROD006,5,125000,Failed,Cash
ORD0234,CUST155,2023-10-30,PROD007,4,72000,Pending,Cash
ORD0235,CUST131,2023-10-18,PROD008,4,140000,Failed,Cash
ORD0236,CUST043,2023-12-27,PROD009,2,24000,Pending,POS
ORD0237,CUST117,2023-02-20,PROD006,3,75000,Failed,POS
ORD0238,CUST040,2023-08-29,PROD001,3,45000,Completed,Cash
ORD0239,CUST182,2024-02-03,PROD009,2,24000,Pending,Transfer
ORD0240,CUST097,2023-06-24,PROD002,2,10000,Failed,Cash
ORD0241,CUST104,2023-09-13,PROD004,2,6000,Pending,Cash
ORD0242,CUST038,2023-07-12,PROD007,3,54000,Completed,Transfer
ORD0243,CUST018,2023-04-23,PROD007,5,90000,Completed,Transfer
ORD0244,CUST071,2023-12-17,PROD004,2,6000,Failed,Transfer
ORD0245,CUST123,2023-09-12,PROD004,3,9000,Pending,Transfer
ORD0246,CUST066,2024-05-11,PROD002,1,5000,Completed,Transfer
ORD0247,CUST030,2023-12-10,PROD001,2,30000,Completed,POS
ORD0248,CUST192,2024-01-25,PROD003,2,16000,Completed,Transfer
ORD0249,CUST085,2023-05-06,PROD001,4,60000,Failed,Cash
ORD0250,CUST020,2023-11-03,PROD004,5,15000,Completed,POS
ORD0251,CUST184,2023-03-19,PROD003,1,8000,Failed,POS
ORD0252,CUST117,2023-08-19,PROD007,2,36000,Completed,POS
ORD0253,CUST003,2024-04-03,PROD005,3,12000,Failed,Cash
ORD0254,CUST165,2023-02-25,PROD001,2,30000,Pending,Transfer
ORD0255,CUST083,2023-10-26,PROD009,5,60000,Completed,Transfer
ORD0256,CUST198,2024-05-19,PROD007,1,18000,Completed,Transfer
ORD0257,CUST036,2023-10-08,PROD008,2,70000,Pending,POS
ORD0258,CUST139,2024-04-15,PROD006,2,50000,Pending,Cash
ORD0259,CUST179,2023-07-30,PROD004,5,15000,Pending,Transfer
ORD0260,CUST153,2023-05-09,PROD004,3,9000,Completed,POS
ORD0261,CUST185,2023-05-01,PROD004,5,15000,Completed,POS
ORD0262,CUST103,2023-03-09,PROD002,5,25000,Completed,POS
ORD0263,CUST037,2024-02-29,PROD002,5,25000,Pending,Transfer
ORD0264,CUST186,2023-10-09,PROD006,1,25000,Completed,POS
ORD0265,CUST151,2023-03-23,PROD010,2,40000,Completed,Cash
ORD0266,CUST096,2024-01-27,PROD001,4,60000,Completed,POS
ORD0267,CUST194,2024-05-17,PROD009,3,36000,Completed,POS
ORD0268,CUST002,2023-10-24,PROD003,5,40000,Failed,Transfer
ORD0269,CUST099,2023-07-13,PROD003,3,24000,Pending,Transfer
ORD0270,CUST023,2024-03-28,PROD002,4,20000,Pending,Cash
ORD0271,CUST042,2023-04-22,PROD009,2,24000,Pending,Transfer
ORD0272,CUST163,2024-04-19,PROD008,3,105000,Pending,Transfer
ORD0273,CUST160,2023-10-18,PROD006,2,50000,Pending,Transfer
ORD0274,CUST130,2023-02-26,PROD005,1,4000,Completed,Cash
ORD0275,CUST073,2023-04-04,PROD005,5,20000,Completed,Cash
ORD0276,CUST188,2023-10-11,PROD002,1,5000,Failed,Transfer
ORD0277,CUST112,2023-12-06,PROD002,3,15000,Pending,Transfer
ORD0278,CUST060,2024-02-14,PROD009,4,48000,Pending,Transfer
ORD0279,CUST135,2023-07-18,PROD001,5,75000,Failed,Cash
ORD0280,CUST077,2023-04-14,PROD007,5,90000,Failed,Transfer
ORD0281,CUST153,2023-10-17,PROD007,4,72000,Completed,POS
ORD0282,CUST087,2023-07-21,PROD001,1,15000,Failed,Transfer
ORD0283,CUST198,2023-07-09,PROD004,2,6000,Completed,Cash
ORD0284,CUST054,2024-02-08,PROD008,4,140000,Failed,POS
ORD0285,CUST027,2023-04-03,PROD002,4,20000,Pending,POS
ORD0286,CUST130,2023-09-16,PROD005,2,8000,Pending,POS
ORD0287,CUST006,2023-02-09,PROD004,5,15000,Completed,Transfer
ORD0288,CUST017,2023-12-03,PROD006,2,50000,Completed,Cash
ORD0289,CUST070,2024-01-16,PROD004,3,9000,Failed,POS
ORD0290,CUST112,2023-08-27,PROD005,2,8000,Completed,Cash
ORD0291,CUST022,2024-06-25,PROD003,3,24000,Failed,POS
ORD0292,CUST162,2023-04-26,PROD005,5,20000,Pending,Transfer
ORD0293,CUST091,2023-02-25,PROD004,3,9000,Pending,Cash
ORD0294,CUST093,2023-11-26,PROD004,1,3000,Completed,Transfer
ORD0295,CUST078,2024-05-10,PROD004,2,6000,Failed,Cash
ORD0296,CUST015,2023-09-06,PROD006,4,100000,Completed,Transfer
ORD0297,CUST195,2024-03-21,PROD001,2,30000,Pending,Transfer
ORD0298,CUST041,2024-06-28,PROD008,4,140000,Pending,Transfer
ORD0299,CUST084,2024-05-27,PROD009,4,48000,Failed,Transfer
ORD0300,CUST093,2023-12-03,PROD005,5,20000,Completed,Cash
ORD0301,CUST033,2023-10-27,PROD004,5,15000,Completed,Cash
ORD0302,CUST142,2023-11-23,PROD008,2,70000,Failed,Cash
ORD0303,CUST049,2023-11-27,PROD005,3,12000,Completed,POS
ORD0304,CUST073,2024-04-05,PROD005,2,8000,Completed,Cash
ORD0305,CUST182,2023-04-05,PROD009,1,12000,Pending,Transfer
ORD0306,CUST021,2023-02-20,PROD005,1,4000,Failed,Transfer
ORD0307,CUST066,2023-09-16,PROD003,2,16000,Completed,Transfer
ORD0308,CUST070,2023-07-19,PROD008,1,35000,Pending,POS
ORD0309,CUST193,2024-05-27,PROD003,4,32000,Completed,POS
ORD0310,CUST020,2023-06-09,PROD005,1,4000,Failed,Transfer
ORD0311,CUST162,2024-01-17,PROD002,2,10000,Completed,Cash
ORD0312,CUST195,2024-07-04,PROD010,5,100000,Failed,Cash
ORD0313,CUST154,2024-01-09,PROD001,3,45000,Failed,Cash
ORD0314,CUST131,2023-07-25,PROD006,2,50000,Pending,Cash
ORD0315,CUST080,2023-01-27,PROD010,5,100000,Completed,Cash
ORD0316,CUST175,2024-02-16,PROD005,1,4000,Pending,Transfer
ORD0317,CUST085,2024-05-17,PROD001,2,30000,Completed,Transfer
ORD0318,CUST110,2023-02-22,PROD007,5,90000,Failed,Cash
ORD0319,CUST152,2024-02-26,PROD005,4,16000,Completed,POS
ORD0320,CUST132,2023-07-21,PROD002,3,15000,Failed,Transfer
ORD0321,CUST083,2024-04-02,PROD001,2,30000,Failed,Cash
ORD0322,CUST024,2023-02-15,PROD005,3,12000,Failed,Cash
ORD0323,CUST067,2024-01-03,PROD008,3,105000,Pending,POS
ORD0324,CUST066,2023-10-16,PROD007,5,90000,Completed,POS
ORD0325,CUST003,2023-01-21,PROD009,1,12000,Completed,Transfer
ORD0326,CUST006,2023-02-14,PROD010,1,20000,Pending,POS
ORD0327,CUST007,2024-04-30,PROD003,1,8000,Failed,Cash
ORD0328,CUST036,2023-05-02,PROD002,5,25000,Failed,Transfer
ORD0329,CUST174,2023-08-19,PROD010,1,20000,Failed,Transfer
ORD0330,CUST196,2023-04-28,PROD002,3,15000,Failed,Transfer
ORD0331,CUST073,2024-05-29,PROD006,4,100000,Completed,Cash
ORD0332,CUST121,2023-10-05,PROD002,4,20000,Completed,Transfer
ORD0333,CUST151,2023-10-19,PROD005,3,12000,Failed,Transfer
ORD0334,CUST022,2024-05-02,PROD005,4,16000,Failed,POS
ORD0335,CUST186,2023-01-22,PROD005,1,4000,Completed,Transfer
ORD0336,CUST075,2024-04-06,PROD005,1,4000,Pending,POS
ORD0337,CUST079,2023-10-15,PROD006,5,125000,Pending,Cash
ORD0338,CUST098,2023-09-09,PROD009,4,48000,Completed,POS
ORD0339,CUST086,2024-04-27,PROD009,4,48000,Pending,POS
ORD0340,CUST002,2023-12-01,PROD008,3,105000,Failed,Cash
ORD0341,CUST040,2023-10-18,PROD006,4,100000,Failed,POS
ORD0342,CUST149,2023-05-29,PROD006,4,100000,Failed,Transfer
ORD0343,CUST137,2024-05-01,PROD009,5,60000,Pending,Transfer
ORD0344,CUST036,2024-03-21,PROD004,1,3000,Failed,Transfer
ORD0345,CUST054,2023-12-03,PROD009,5,60000,Failed,Cash
ORD0346,CUST016,2024-01-03,PROD003,3,24000,Pending,Transfer
ORD0347,CUST166,2023-06-15,PROD006,4,100000,Completed,Cash
ORD0348,CUST104,2023-10-03,PROD009,3,36000,Failed,Cash
ORD0349,CUST063,2024-03-22,PROD009,5,60000,Pending,POS
ORD0350,CUST153,2024-05-13,PROD004,5,15000,Completed,POS
ORD0351,CUST049,2023-03-12,PROD005,4,16000,Completed,Transfer
ORD0352,CUST043,2024-05-04,PROD006,3,75000,Failed,Cash
ORD0353,CUST095,2023-08-28,PROD003,5,40000,Completed,Cash
ORD0354,CUST161,2023-12-26,PROD005,2,8000,Failed,Cash
ORD0355,CUST149,2024-02-21,PROD008,3,105000,Failed,Cash
ORD0356,CUST055,2023-05-27,PROD007,3,54000,Completed,Cash
ORD0357,CUST036,2023-02-15,PROD006,4,100000,Failed,Cash
ORD0358,CUST186,2023-02-09,PROD010,3,60000,Failed,POS
ORD0359,CUST064,2023-10-02,PROD010,1,20000,Completed,POS
ORD0360,CUST028,2023-07-15,PROD009,1,12000,Pending,Transfer
ORD0361,CUST062,2023-02-07,PROD008,3,105000,Failed,Cash
ORD0362,CUST164,2023-12-27,PROD009,3,36000,Pending,Cash
ORD0363,CUST171,2023-04-29,PROD007,1,18000,Failed,Cash
ORD0364,CUST033,2024-03-06,PROD005,5,20000,Pending,Transfer
ORD0365,CUST187,2023-07-24,PROD005,5,20000,Pending,POS
ORD0366,CUST176,2023-11-17,PROD001,2,30000,Failed,Transfer
ORD0367,CUST089,2024-03-30,PROD003,2,16000,Failed,Cash
ORD0368,CUST156,2023-12-02,PROD006,3,75000,Pending,Transfer
ORD0369,CUST038,2023-09-25,PROD008,1,35000,Pending,Cash
ORD0370,CUST049,2024-07-02,PROD004,4,12000,Completed,Transfer
ORD0371,CUST053,2023-01-01,PROD008,5,175000,Completed,POS
ORD0372,CUST033,2024-06-06,PROD008,5,175000,Completed,POS
ORD0373,CUST024,2024-05-01,PROD010,5,100000,Failed,Transfer
ORD0374,CUST096,2023-03-16,PROD005,3,12000,Completed,Transfer
ORD0375,CUST142,2024-04-16,PROD009,2,24000,Failed,Transfer
ORD0376,CUST137,2023-08-21,PROD007,5,90000,Pending,Cash
ORD0377,CUST078,2024-01-11,PROD004,4,12000,Pending,Transfer
ORD0378,CUST168,2023-12-05,PROD004,5,15000,Failed,POS
ORD0379,CUST115,2023-04-21,PROD008,5,175000,Completed,Transfer
ORD0380,CUST178,2023-06-16,PROD004,1,3000,Failed,POS
ORD0381,CUST020,2023-06-14,PROD004,3,9000,Failed,Cash
ORD0382,CUST112,2023-12-02,PROD007,5,90000,Failed,Cash
ORD0383,CUST017,2023-11-12,PROD007,3,54000,Pending,Transfer
ORD0384,CUST148,2024-04-28,PROD010,1,20000,Completed,POS
ORD0385,CUST015,2024-04-16,PROD005,1,4000,Completed,Cash
ORD0386,CUST114,2023-03-03,PROD008,3,105000,Pending,Cash
